                    0   9.7656250000000000E-004   2.8320312500000000E-002
                    5   1.4648437500000000E-003   4.6875000000000000E-002
                   10   7.8125000000000000E-003   6.8359375000000000E-002
                   15   4.5410156250000000E-002   1.7578125000000000E-002
                   20   1.5625000000000000E-002   4.6875000000000000E-002
                   25   4.8828125000000000E-003   5.1757812500000000E-002
                   30   1.2695312500000000E-002   7.2265625000000000E-002
                   35   2.4414062500000000E-002   9.7656250000000000E-004
                   40   5.8593750000000000E-003   4.1992187500000000E-002
                   45   4.8828125000000000E-003   4.8828125000000000E-002
                   50   7.3242187500000000E-003   5.1757812500000000E-002
                   55   4.8828125000000000E-004   2.3437500000000000E-002
                   60   2.7343750000000000E-002   8.7890625000000000E-003
                   65   3.2226562500000000E-002   3.4179687500000000E-002
                   70   9.7656250000000000E-003   1.7578125000000000E-002
                   75   1.0253906250000000E-002   5.0781250000000000E-002
                   80   4.8828125000000000E-004   5.0781250000000000E-002
                   85   1.4648437500000000E-003   3.7109375000000000E-002
                   90   2.4414062500000000E-002   2.3437500000000000E-002
                   95   7.3242187500000000E-003   4.1015625000000000E-002
                  100   3.9062500000000000E-003   5.9570312500000000E-002
                  105   1.1230468750000000E-002   4.8828125000000000E-002
                  110   4.8828125000000000E-003   4.1992187500000000E-002
                  115   1.7578125000000000E-002   5.8593750000000000E-002
                  120   0.0000000000000000        8.1054687500000000E-002
                  125   1.4160156250000000E-002   2.2460937500000000E-002
                  130   6.3476562500000000E-003   4.2968750000000000E-002
                  135   0.0000000000000000        5.4687500000000000E-002
                  140   1.7089843750000000E-002   2.4414062500000000E-002
                  145   3.2226562500000000E-002   3.7109375000000000E-002
                  150   8.7890625000000000E-003   2.6367187500000000E-002
                  155   8.3007812500000000E-003   5.9570312500000000E-002
                  160   8.7890625000000000E-003   4.1992187500000000E-002
                  165   2.7832031250000000E-002   9.7656250000000000E-004
                  170   1.4648437500000000E-003   5.9570312500000000E-002
                  175   8.7890625000000000E-003   2.3437500000000000E-002
                  180   2.9296875000000000E-003   5.0781250000000000E-002
                  185   6.8359375000000000E-003   1.8554687500000000E-002
                  190   9.7656250000000000E-004   4.3945312500000000E-002
                  195   3.3203125000000000E-002   4.9804687500000000E-002
                  200   1.6113281250000000E-002   2.3437500000000000E-002
                  205   3.0273437500000000E-002   3.2226562500000000E-002
                  210   5.0292968750000000E-002   4.5898437500000000E-002
                  215   1.0742187500000000E-002   1.1718750000000000E-002
                  220   6.3476562500000000E-003   2.9296875000000000E-002
                  225   2.3925781250000000E-002   5.0781250000000000E-002
                  230   8.7890625000000000E-003   5.0781250000000000E-002
                  235   3.4179687500000000E-003   5.1757812500000000E-002
                  240   2.4414062500000000E-003   6.1523437500000000E-002
                  245   2.4902343750000000E-002  -1.1718750000000000E-002
                  250   1.9531250000000000E-002   5.3710937500000000E-002
                  255   7.8125000000000000E-003   6.8359375000000000E-002
                  260   3.9062500000000000E-003   2.2460937500000000E-002
                  265   5.8593750000000000E-003   4.8828125000000000E-002
                  270   1.6601562500000000E-002   1.3671875000000000E-002
                  275   2.2460937500000000E-002   6.7382812500000000E-002
                  280   3.6621093750000000E-002   3.6132812500000000E-002
                  285   2.0996093750000000E-002   2.8320312500000000E-002
                  290   2.3437500000000000E-002   1.8554687500000000E-002
                  295   5.3710937500000000E-003   5.4687500000000000E-002
                  300   1.6113281250000000E-002   4.4921875000000000E-002
                  305   5.3710937500000000E-003   7.8125000000000000E-003
                  310   1.9042968750000000E-002   3.1250000000000000E-002
                  315   2.2949218750000000E-002   4.5898437500000000E-002
                  320   1.8066406250000000E-002  -1.3671875000000000E-002
                  325   9.2773437500000000E-003   1.1718750000000000E-002
                  330   1.0742187500000000E-002   4.4921875000000000E-002
                  335   2.0507812500000000E-002   2.1484375000000000E-002
                  340   5.3710937500000000E-003   1.1718750000000000E-002
                  345   3.1738281250000000E-002   4.8828125000000000E-003
                  350   2.9296875000000000E-003   3.2226562500000000E-002
                  355   9.7656250000000000E-004   8.2031250000000000E-002
                  360   2.2949218750000000E-002   4.1015625000000000E-002
                  365   7.3242187500000000E-003   2.4414062500000000E-002
                  370   3.2226562500000000E-002   5.2734375000000000E-002
                  375   9.2773437500000000E-003   3.3203125000000000E-002
                  380   1.2695312500000000E-002   1.4648437500000000E-002
                  385   3.2714843750000000E-002   8.3007812500000000E-002
                  390   9.2773437500000000E-003   5.2734375000000000E-002
                  395   7.3242187500000000E-003   4.1015625000000000E-002
                  400   2.8808593750000000E-002   3.2226562500000000E-002
                  405   4.3945312500000000E-003   2.4414062500000000E-002
                  410   9.2773437500000000E-003   5.8593750000000000E-002
                  415   1.5625000000000000E-002   5.1757812500000000E-002
                  420   3.4179687500000000E-003   1.9531250000000000E-002
                  425   5.3710937500000000E-003   4.1992187500000000E-002
                  430   2.4414062500000000E-003   3.4179687500000000E-002
                  435   3.4667968750000000E-002   4.6875000000000000E-002
