 # THETA1, THETA2.
   0.0000000000000000        1.0000000000000000     
   1.0000000000000000E-002  0.99950967566408044     
   1.9990193513281608E-002  0.99803923243615111     
   2.9960784648723024E-002  0.99559025865164430     
   3.9901998686314499E-002  0.99216539819495653     
   4.9804092612622156E-002  0.98776834550676329     
   5.9657365596449762E-002  0.98240383863267422     
   6.9452169385275639E-002  0.97607765035120930     
   7.9178918603473952E-002  0.96879657742931669     
   8.8828100933861981E-002  0.96056842806344245     
   9.8390287164742810E-002  0.95140200757341331     
  0.10785614108533025       0.94130710242502613     
  0.11721642921324332       0.93029446266517379     
  0.12646203033863371       0.91837578286051103     
  0.13558394487045353       0.90556368163702050     
  0.14457330397137411       0.89187167992332284     
  0.15342137846891998       0.87731417800515554     
  0.16211958753147723       0.86190643150208823     
  0.17065950709896177       0.84566452638022815     
  0.17903287805908180       0.82860535311639694     
  0.18723161416128969       0.81074658013001955     
  0.19524780966168218       0.79210662659877917     
  0.20307374669326528       0.77270463477297124     
  0.21070190235714162       0.75256044190146831     
  0.21812495553129466       0.73169455187932064     
  0.22533579339472803       0.71012810672331006     
  0.23232751766576085       0.68788285797729976     
  0.23909345055427403       0.66498113814403392     
  0.24562714042864153       0.64144583223420504     
  0.25192236719895811       0.61730034951718638     
  0.25797314741898525       0.59256859555089747     
  0.26377373910997609       0.56727494456089822     
  0.26931864631020325       0.54144421223107164     
  0.27460262335459751       0.51510162896023060     
  0.27962067888940784       0.48827281363074659     
  0.28436807962721244       0.46098374792692359     
  0.28884035384794632       0.43326075123240104     
  0.29303329465186045       0.40513045612744342     
  0.29694296297049516       0.37661978449862615     
  0.30056569034183295       0.34775592426523022     
  0.30389808145579972       0.31856630671867386     
  0.30693701647620641       0.28907858446360329     
  0.30967965314507179       0.25932060994189099     
  0.31212342867504422       0.22932041451380608     
  0.31426606143534791       0.19910618806407604     
  0.31610555243632577       0.16870625909450010     
  0.31764018661723792       0.13814907525924022     
  0.31886853394151055       0.10746318429394860     
  0.31978945030311690        7.6677215285518227E-002
  0.32040207824722094        4.5819860225499491E-002
  0.32070584750762693        1.4919855787129947E-002
  0.32070047536296359       -1.5994034736499463E-002
  0.32038596681289694       -4.6893039397357991E-002
  0.31976261457501642       -7.7748395525727765E-002
  0.31883099890238242      -0.10853136769739492     
  0.31759198722106857      -0.13921326580001400     
  0.31604673358638219      -0.16976546326281300     
  0.31419667795581235      -0.20015941551204319     
  0.31204354527614137      -0.23036667871212968     
  0.30958934438156976      -0.26035892884936102     
  0.30683636669915415      -0.29010798121118914     
  0.30378718475734601      -0.31958581030981853     
  0.30044465049295777      -0.34876457029377494     
  0.29681189335147051      -0.37761661588559203     
  0.29289231817524597      -0.40611452387767688     
  0.28868960287391698      -0.43423111521185409     
  0.28420769587100886      -0.46193947766108995     
  0.27945081332069516      -0.48921298912451261     
  0.27442343608851860      -0.51602534153912616     
  0.26913030648991265      -0.54235056540362503     
  0.26357642478044613      -0.56816305490151064     
  0.25776704539188244      -0.59343759360236148     
  0.25170767290839891      -0.61814938071167824     
  0.24540405777764890      -0.64227405783128921     
  0.23886219175177312      -0.66578773618392895     
  0.23208830305397032      -0.68866702424737147     
  0.22508885126682571      -0.71088905573548422     
  0.21787052193926065      -0.73243151785584348     
  0.21044022090970885      -0.75327267976619661     
  0.20280506834393672      -0.77339142114514037     
  0.19497239248680603      -0.79276726078598436     
  0.18694972312821703      -0.81138038511695432     
  0.17874478478446695      -0.82921167654572536     
  0.17036548959730252      -0.84624274152182477     
  0.16181992995403044      -0.86245593820676547     
  0.15311637083316720      -0.87783440363891385     
  0.14426324188125217      -0.89236208027810349     
  0.13526912922760514      -0.90602374181391998     
  0.12614276704497376      -0.91880501812142534     
  0.11689302886517663      -0.93069241924888557     
  0.10752891865999606      -0.94167335832382382     
   9.8059561698700157E-002 -0.95173617326644278     
   8.8494195194667197E-002 -0.96087014720313590     
   7.8842158754637431E-002 -0.96906552747741759     
   6.9112884645118847E-002 -0.97631354316111973     
   5.9315887891415037E-002 -0.98260642097508666     
   4.9460756225617110E-002 -0.98793739953580217     
   3.9557139900698993E-002 -0.99230074185234385     
   2.9614741388570232E-002 -0.99569174600671451     
   1.9643304980564699E-002 -0.99810675395987281     
   9.6526063093727733E-003 -0.99954315843559116     
  -3.4755818814712416E-004 -0.99999940784452268     
  -1.0347381847517682E-002 -0.99947500922146371     
  -2.0337058372576398E-002 -0.99797052915965623     
  -3.0306792430710806E-002 -0.99548759273698528     
  -4.0246810227316104E-002 -0.99202888043998461     
  -5.0147370039510503E-002 -0.98759812310256601     
  -5.9998772689367430E-002 -0.98220009488723303     
  -6.9791371937255167E-002 -0.97584060434712250     
  -7.9515584776309878E-002 -0.96852648361744209     
  -8.9161901609604008E-002 -0.96026557579464489     
  -9.8720896292202778E-002 -0.95106672057091390     
 -0.10818323602102228      -0.94093973820013732     
 -0.11753969105620553      -0.92989541187946645     
 -0.12678114425861162      -0.91794546863769599     
 -0.13589860042895946      -0.90510255882803059     
 -0.14488319543517225      -0.89138023432825775     
 -0.15372620511552462      -0.87679292555589339     
 -0.16241905394629011      -0.86135591740947670     
 -0.17095332346371414      -0.84508532424984562     
 -0.17932076043128700      -0.82799806403691489     
 -0.18751328474445242      -0.81011183173820889     
 -0.19552299706605117      -0.79144507212517756     
 -0.20334218618695596      -0.77201695207217436     
 -0.21096333610749465      -0.75184733247092184     
 -0.21837913283637439      -0.73095673987037435     
 -0.22558247090490213      -0.70936633794815251     
 -0.23256645959533745      -0.68709789891522299     
 -0.23932442888320660      -0.66417377495028551     
 -0.24584993509434316      -0.64061686975447119     
 -0.25213676627829601      -0.61645061031051751     
 -0.25817894730055352      -0.59169891892363780     
 -0.26397074465676879      -0.56638618561391774     
 -0.26950667101283188      -0.54053724092232480     
 -0.27478148947521530      -0.51417732918438297     
 -0.27979021759651956      -0.48733208231732122     
 -0.28452813112156172      -0.46002749415812649     
 -0.28899076747968205      -0.43228989538149176     
 -0.29317392902919154      -0.40414592901822449     
 -0.29707368606004653      -0.37562252658633771     
 -0.30068637956091826      -0.34674688483885474     
 -0.30400862375682364      -0.31754644312438329     
 -0.30703730842340593      -0.28804886134881830     
 -0.30976960098379996      -0.25828199851917277     
 -0.31220294839378937      -0.22827389184356597     
 -0.31433507882067130      -0.19805273635486972     
 -0.31616400312088677      -0.16764686501947082     
 -0.31768801612106073      -0.13708472928709428     
 -0.31890569770662869      -0.10639488003268326     
 -0.31981591372171442       -7.5605948836982267E-002
 -0.32041781668336833       -4.4746629548747335E-002
 -0.32071084631268937       -1.3845660068435191E-002
 -0.32069472988473707        1.7068195709177524E-002
 -0.32036948239850582        4.7966165857709159E-002
 -0.31973540656758287        7.8819488352505018E-002
 -0.31879309263145572       0.10959942904018492     
 -0.31754341798677915       0.14027729970961575     
 -0.31598754663726336       0.17082447632842676     
 -0.31412692846021062       0.20121241750739824     
 -0.31196329828711544       0.23141268325258199     
